"eventName","cabangOlahraga","lokasiLengkap","tahun"
"Alpes Isère Tour","Race stage","Rhône-Alpes",2000
"Australia World Cup","Classic cycle races","Australia, Canberra, Geelong, Snowy Mountains, Sydney",2000
"Bayern Rundfahrt","Race stage","Bavaria",2000
"Bałtyk–Karkonosze Tour","Race stage","Poland",2000
"Chrono des Nations","Individual time trial","Vendée",2000
"Circuit de Wallonie","Classic cycle races","Wallonia",2000
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2000
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2000
"Draai van de Kaai","Criterium","Netherlands, Roosendaal",2000
"Five Rings of Moscow","Race stage","Moscow, Russia",2000
"HTV Cup (cycling)","Race stage","Vietnam",2000
"Herald Sun Tour","Race stage","Victoria (state)",2000
"International Tour of Rhodes","Race stage","Greece, Rhodes",2000
"Japan Cup (cycling)","Classic cycle races","Japan",2000
"Jelajah Malaysia","Race stage","Peninsular Malaysia",2000
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2000
"Kreiz Breizh Elites","Race stage","Brittany, France",2000
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2000
"Memoriał Romana Siemińskiego","Classic cycle races","Masovian Voivodeship, Poland",2000
"Okolo Slovenska","Race stage","Slovakia",2000
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2000
"Ronde de l'Oise","Race stage","Oise",2000
"Rutas de América","Race stage","Uruguay",2000
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2000
"Szlakiem Grodów Piastowskich","Race stage","Lower Silesian Voivodeship",2000
"Szlakiem Walk Majora Hubala","Classic cycle races, Race stage","Poland",2000
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2000
"Tour de Korea","Race stage","South Korea",2000
"Tour de Langkawi","Race stage","Peninsular Malaysia",2000
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2000
"Tour de Pologne","Race stage","Poland",2000
"Tour de Pologne Women","Race stage","Poland",2000
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2000
"Tour de Serbie","Race stage","Serbia",2000
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2000
"Tour des Aéroports","Race stage","Tunisia",2000
"Tour of Austria","Race stage","Austria",2000
"Tour of Bulgaria","Race stage","Bulgaria",2000
"Tour of Galicia","Race stage","Galicia (Spain)",2000
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2000
"Tour of Romania","Race stage","Romania",2000
"Tour of South China Sea","Classic cycle races","Guangdong",2000
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2000
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2000
"Trofeo Edil C","Classic cycle races","Italy, Province of Parma",2000
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2000
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2000
"Volta a la Comunitat Valenciana","Race stage","Valencian Community",2000
"Vuelta a Aragón","Race stage","Aragon",2000
"Vuelta a Navarra","Race stage","Navarre",2000
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2000
"Vuelta a la Argentina","Race stage","Argentina",2000
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2000
"Alpes Isère Tour","Race stage","Rhône-Alpes",2001
"Australia World Cup","Classic cycle races","Australia, Canberra, Geelong, Snowy Mountains, Sydney",2001
"Bayern Rundfahrt","Race stage","Bavaria",2001
"Bałtyk–Karkonosze Tour","Race stage","Poland",2001
"Chrono des Nations","Individual time trial","Vendée",2001
"Circuit de Wallonie","Classic cycle races","Wallonia",2001
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2001
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2001
"Draai van de Kaai","Criterium","Netherlands, Roosendaal",2001
"Dwars door het Hageland","Classic cycle races","Flemish Brabant",2001
"Five Rings of Moscow","Race stage","Moscow, Russia",2001
"HTV Cup (cycling)","Race stage","Vietnam",2001
"Herald Sun Tour","Race stage","Victoria (state)",2001
"International Tour of Rhodes","Race stage","Greece, Rhodes",2001
"Japan Cup (cycling)","Classic cycle races","Japan",2001
"Jelajah Malaysia","Race stage","Peninsular Malaysia",2001
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2001
