nama_event,cabang_olahraga,lokasi,tahun
Q136036509,sailing,France,2026
2026 European Rowing Championships,rowing,Italy,2026
Q136649791,speed skiing,France,2026
2025–26 Biathlon World Cup – Stage 4,biathlon,Germany,2026
2025–26 Biathlon World Cup – Stage 5,biathlon,Germany,2026
2025–26 Biathlon World Cup – Stage 6,biathlon,Czech Republic,2026
2025–26 Biathlon World Cup – Stage 7,biathlon,Finland,2026
2025–26 Biathlon World Cup – Stage 8,biathlon,Estonia,2026
2025–26 Biathlon World Cup – Stage 9,biathlon,Norway,2026
2026 Grand Prix Zagreb Open,wrestling,Croatia,2026
Grand Prix Of Thailand - Compak Sporting - January 2026,clay pigeon shooting,Thailand,2026
Grand Prix de Guadeloupe – Compak Sporting – February 2026,Compak Sporting,France,2026
National Selection 2 – Sporting – France – April 2026,sporting clays,France,2026
Grand Prix de France – Sporting – Février 2026,sporting clays,France,2026
48th World Championship – Sporting – Portugal – July 2026,sporting clays,Portugal,2026
Grand Prix of Lithuania – Sporting – September 2026,sporting clays,Lithuania,2026
American Grand Prix – Sporting – USA – March 2026,sporting clays,United States,2026
Grand Prix of Latvia – Compak Sporting – May 2026,Compak Sporting,Latvia,2026
22nd World Championship – Compak Sporting – Italy – August 2026,Compak Sporting,Italy,2026
Caesar Guerini Grand Prix - France (February 2026),sporting clays,France,2026
Euro Shooting Cash – 11th Edition - Sporting - France (June 2026),sporting clays,France,2026
All-Ukrainian Compak Sporting Competition – Vinnytsia (March 2026),Compak Sporting,Ukraine,2026
All-Ukrainian Compak Sporting Competition – Odesa (April 2026),Compak Sporting,Ukraine,2026
All-Ukrainian Compak Sporting Competition – Ivano-Frankivsk (May 2026),Compak Sporting,Ukraine,2026
All-Ukrainian Compak Sporting Competition – Vinnytsia (June 2026),Compak Sporting,Ukraine,2026
All-Ukrainian Compak Sporting Competition – Poltava (June 2026),Compak Sporting,Ukraine,2026
Ukrainian Cup in Compak Sporting – Odesa (July 2026),Compak Sporting,Ukraine,2026
All-Ukrainian Compak Sporting Competition – Rivne (August 2026),Compak Sporting,Ukraine,2026
Parcours Women’s Day Cup – Compak Sporting (March 2026),Compak Sporting,Poland,2026
Women’s Day Picnic – Compak Sporting (March 2026),Compak Sporting,Poland,2026
KS Idźczak Jura Kochcice Championship – Compak Sporting (May 2026),Compak Sporting,Poland,2026
Easter Parcours Competition – Compak Sporting (April 2026),Compak Sporting,Poland,2026
Top Hunts TV Cup – Sporting (June 2026),sporting clays,Poland,2026
II Perazzi Challenge 2026 – Sporting (June 2026),sporting clays,Poland,2026
Grand Prix Idźczak Meble – Compak Sporting (June 2026),Compak Sporting,Poland,2026
Beretta Cup – Compak Sporting (July 2026),Compak Sporting,Poland,2026
MKS ASTRA Cup – Sporting (July 2026),sporting clays,Poland,2026
III Promatic Cup – Compak Sporting (August 2026),Compak Sporting,Poland,2026
III Primabiotic Cup – Compak Sporting (August 2026),Compak Sporting,Poland,2026
MKS ASTRA Picnic – Compak Sporting (August 2026),Compak Sporting,Poland,2026
MKS ASTRA Cup – English Sporting (October 2026),sporting clays,Poland,2026
Night Parcours – Compak Sporting (October 2026),Compak Sporting,Poland,2026
EHUNT Season Opening – Compak Sporting (March 2026),Compak Sporting,Lithuania,2026
Hunting League Opening - Compak Sporting - Lithuania (March 2026),Compak Sporting,Lithuania,2026
Kaunas Cup I stage - Compak Sporting - Lithuania (April 2026),Compak Sporting,Lithuania,2026
Marijampolė Mayors Cup I stage - Compak Sporting - Lithuania (April 2026),Compak Sporting,Lithuania,2026
Lithuanian Cup I stage - Compak Sporting - Lithuania (April 2026),Compak Sporting,Lithuania,2026
Lithuanian Cup II stage - Compak Sporting - Lithuania (May 2026),Compak Sporting,Lithuania,2026
Kaunas Cup II Stage - Compak Sporting - Lithuania (May 2026),Compak Sporting,Lithuania,2026
Lithuanian Cup III + Blaser Cup - Compak Sporting - Lithuania (June 2026),Compak Sporting,Lithuania,2026
Mindaugas Cup - Compak Sporting - Lithuania (July 2026),Compak Sporting,Lithuania,2026
Šūvio klubas Cup - Compak Sporting - Lithuania (July 2026),Compak Sporting,Lithuania,2026
Lithuanian Championship - Compak Sporting - Lithuania (July 2026),Compak Sporting,Lithuania,2026
Kaunas Cup III Stage - Compak Sporting - Lithuania (August 2026),Compak Sporting,Lithuania,2026
Lithuanian Cup IV - Final - Compak Sporting - Lithuania (August 2026),Compak Sporting,Lithuania,2026
Hunters Capital Cup - English Sporting - Lithuania (September 2026),sporting clays,Lithuania,2026
Grand Prix of Lithuania - Sporting - Lithuania (September 2026),sporting clays,Lithuania,2026
Hunters League Closing - Compak Sporting - Lithuania (October 2026),Compak Sporting,Lithuania,2026
Varėna Mayors Cup - Compak Sporting - Lithuania (October 2026),Compak Sporting,Lithuania,2026
Vilnius Grand Prix - Compak Sporting - Lithuania (October 2026),Compak Sporting,Lithuania,2026
Marijampolė Mayors Cup II stage - Compak Sporting - Lithuania (October 2026),Compak Sporting,Lithuania,2026
Kaunas Doublets - Compak Sporting - Lithuania (November 2026),Compak Sporting,Lithuania,2026
Grand Prix of Lithuania - Compak Sporting - Lithuania (August 2026),Compak Sporting,Lithuania,2026
Grand Prix of New Zealand – Sporting (February 2026),sporting clays,New Zealand,2026
Grand Prix of Czech Republic – Compak Sporting (May 2026),Compak Sporting,Czech Republic,2026
Grand Prix of Czech Republic – Sporting (May 2026),sporting clays,Czech Republic,2026
Clays Shooting Cash Race – Compak Sporting (May 2026),Compak Sporting,France,2026
Pre-selections Compak Sporting Sains-lès-Marquion 2026,Compak Sporting,France,2026
Grand Prix of Greece – Compak Sporting (May 2026),Compak Sporting,Greece,2026
Preselections – Compak Sporting – Coullons (April 2026),Compak Sporting,France,2026
Preselections – Compak Sporting – Biscarrosse (April 2026),Compak Sporting,France,2026
Football at the 2026 Asian Games – Men's tournament,association football,Japan,2026
Football at the 2026 Asian Games – Women's tournament,association football,Japan,2026
2026 Asian Rhythmic Gymnastics Championships,rhythmic gymnastics,Kyrgyzstan,2026
Grand Prix of Portugal – Sporting (March 2026),sporting clays,Portugal,2026
2026 World Athletics Indoor Championships – Women's 800 metres,athletics,Poland,2026
2026 World Athletics Indoor Championships – Women's 1500 metres,athletics,Poland,2026
2025 Pan American Aquatics U15 Water Polo Championships – Women's tournament,water polo,Brazil,2025
2025 World Para Archery Championships – Men's doubles compound open,para archery,South Korea,2025
Q136621021,athletics,United States,2025
2025 FIVB Beach Volleyball U18 World Championships – Women's tournament,beach volleyball,Qatar,2025
2025–26 Biathlon World Cup – Stage 1,biathlon,Sweden,2025
2025–26 Biathlon World Cup – Stage 2,biathlon,Austria,2025
2025–26 Biathlon World Cup – Stage 3,biathlon,France,2025
2025–26 ISU Speed Skating World Cup – World Cup 1,long track speed skating,United States,2025
2025 Pan American Aquatics U15 Water Polo Championships – Men's tournament,water polo,Brazil,2025
2025 Pan American U17 Water Polo Championship – Men's tournament,water polo,Colombia,2025
Individual dressage at the 2025 European Dressage Championships,dressage,France,2025
2025 European Rowing Championships,rowing,Bulgaria,2025
2024–25 Biathlon World Cup – Stage 4,biathlon,Germany,2025
2024–25 Biathlon World Cup – Stage 5,biathlon,Germany,2025
2024–25 Biathlon World Cup – Stage 6,biathlon,Italy,2025
2024–25 Biathlon World Cup – Stage 7,biathlon,Czech Republic,2025
