Lokasi_A,Lokasi_B,Skor_Kemiripan
All-Ukrainian Compak Sporting Competition – Vinnytsia (June 2026),All-Ukrainian Compak Sporting Competition – Vinnytsia (March 2026),1.0
All-Ukrainian Compak Sporting Competition – Rivne (August 2026),All-Ukrainian Compak Sporting Competition – Vinnytsia (March 2026),1.0
All-Ukrainian Compak Sporting Competition – Odesa (April 2026),All-Ukrainian Compak Sporting Competition – Ivano-Frankivsk (May 2026),1.0
All-Ukrainian Compak Sporting Competition – Vinnytsia (June 2026),Ukrainian Cup in Compak Sporting – Odesa (July 2026),1.0
Ukrainian Cup in Compak Sporting – Odesa (July 2026),All-Ukrainian Compak Sporting Competition – Poltava (June 2026),1.0
All-Ukrainian Compak Sporting Competition – Rivne (August 2026),All-Ukrainian Compak Sporting Competition – Poltava (June 2026),1.0
Grand Prix of Lithuania – Sporting – September 2026,Hunters Capital Cup - English Sporting - Lithuania (September 2026),1.0
All-Ukrainian Compak Sporting Competition – Odesa (April 2026),All-Ukrainian Compak Sporting Competition – Vinnytsia (June 2026),1.0
All-Ukrainian Compak Sporting Competition – Ivano-Frankivsk (May 2026),All-Ukrainian Compak Sporting Competition – Poltava (June 2026),1.0
All-Ukrainian Compak Sporting Competition – Vinnytsia (June 2026),All-Ukrainian Compak Sporting Competition – Rivne (August 2026),1.0
All-Ukrainian Compak Sporting Competition – Poltava (June 2026),All-Ukrainian Compak Sporting Competition – Vinnytsia (March 2026),1.0
Ukrainian Cup in Compak Sporting – Odesa (July 2026),All-Ukrainian Compak Sporting Competition – Rivne (August 2026),1.0
All-Ukrainian Compak Sporting Competition – Rivne (August 2026),All-Ukrainian Compak Sporting Competition – Vinnytsia (June 2026),1.0
All-Ukrainian Compak Sporting Competition – Rivne (August 2026),Ukrainian Cup in Compak Sporting – Odesa (July 2026),1.0
Grand Prix de France – Sporting – Février 2026,Caesar Guerini Grand Prix - France (February 2026),1.0
Grand Prix of Lithuania – Sporting – September 2026,Grand Prix of Lithuania - Sporting - Lithuania (September 2026),1.0
Euro Shooting Cash – 11th Edition - Sporting - France (June 2026),National Selection 2 – Sporting – France – April 2026,1.0
All-Ukrainian Compak Sporting Competition – Vinnytsia (March 2026),All-Ukrainian Compak Sporting Competition – Odesa (April 2026),1.0
All-Ukrainian Compak Sporting Competition – Ivano-Frankivsk (May 2026),All-Ukrainian Compak Sporting Competition – Vinnytsia (June 2026),1.0
All-Ukrainian Compak Sporting Competition – Ivano-Frankivsk (May 2026),All-Ukrainian Compak Sporting Competition – Odesa (April 2026),1.0
All-Ukrainian Compak Sporting Competition – Ivano-Frankivsk (May 2026),Ukrainian Cup in Compak Sporting – Odesa (July 2026),1.0
All-Ukrainian Compak Sporting Competition – Vinnytsia (June 2026),All-Ukrainian Compak Sporting Competition – Poltava (June 2026),1.0
All-Ukrainian Compak Sporting Competition – Poltava (June 2026),All-Ukrainian Compak Sporting Competition – Vinnytsia (June 2026),1.0
