event,eventLabel,caborLabel,lokasiLabel,tahun
http://www.wikidata.org/entity/Q136036509,Q136036509,sailing,France,2026
http://www.wikidata.org/entity/Q136140846,2026 European Rowing Championships,rowing,Italy,2026
http://www.wikidata.org/entity/Q136649791,Q136649791,speed skiing,France,2026
http://www.wikidata.org/entity/Q136681062,2025–26 Biathlon World Cup – Stage 4,biathlon,Germany,2026
http://www.wikidata.org/entity/Q136681063,2025–26 Biathlon World Cup – Stage 5,biathlon,Germany,2026
http://www.wikidata.org/entity/Q136681064,2025–26 Biathlon World Cup – Stage 6,biathlon,Czech Republic,2026
http://www.wikidata.org/entity/Q136681065,2025–26 Biathlon World Cup – Stage 7,biathlon,Finland,2026
http://www.wikidata.org/entity/Q136681066,2025–26 Biathlon World Cup – Stage 8,biathlon,Estonia,2026
http://www.wikidata.org/entity/Q136681067,2025–26 Biathlon World Cup – Stage 9,biathlon,Norway,2026
http://www.wikidata.org/entity/Q137822621,2026 Grand Prix Zagreb Open,wrestling,Croatia,2026
http://www.wikidata.org/entity/Q138196120,Grand Prix Of Thailand - Compak Sporting - January 2026,clay pigeon shooting,Thailand,2026
http://www.wikidata.org/entity/Q138306706,Grand Prix de Guadeloupe – Compak Sporting – February 2026,Compak Sporting,France,2026
http://www.wikidata.org/entity/Q138307267,National Selection 2 – Sporting – France – April 2026,sporting clays,France,2026
http://www.wikidata.org/entity/Q138307709,Grand Prix de France – Sporting – Février 2026,sporting clays,France,2026
http://www.wikidata.org/entity/Q138307864,48th World Championship – Sporting – Portugal – July 2026,sporting clays,Portugal,2026
http://www.wikidata.org/entity/Q138308042,Grand Prix of Lithuania – Sporting – September 2026,sporting clays,Lithuania,2026
http://www.wikidata.org/entity/Q138309452,American Grand Prix – Sporting – USA – March 2026,sporting clays,United States,2026
http://www.wikidata.org/entity/Q138310204,Grand Prix of Latvia – Compak Sporting – May 2026,Compak Sporting,Latvia,2026
http://www.wikidata.org/entity/Q138314191,22nd World Championship – Compak Sporting – Italy – August 2026,Compak Sporting,Italy,2026
http://www.wikidata.org/entity/Q138324759,Caesar Guerini Grand Prix - France (February 2026),sporting clays,France,2026
http://www.wikidata.org/entity/Q138325614,Euro Shooting Cash – 11th Edition - Sporting - France (June 2026),sporting clays,France,2026
http://www.wikidata.org/entity/Q138335522,All-Ukrainian Compak Sporting Competition – Vinnytsia (March 2026),Compak Sporting,Ukraine,2026
http://www.wikidata.org/entity/Q138335562,All-Ukrainian Compak Sporting Competition – Odesa (April 2026),Compak Sporting,Ukraine,2026
http://www.wikidata.org/entity/Q138335657,All-Ukrainian Compak Sporting Competition – Ivano-Frankivsk (May 2026),Compak Sporting,Ukraine,2026
http://www.wikidata.org/entity/Q138335689,All-Ukrainian Compak Sporting Competition – Vinnytsia (June 2026),Compak Sporting,Ukraine,2026
http://www.wikidata.org/entity/Q138335745,All-Ukrainian Compak Sporting Competition – Poltava (June 2026),Compak Sporting,Ukraine,2026
http://www.wikidata.org/entity/Q138335784,Ukrainian Cup in Compak Sporting – Odesa (July 2026),Compak Sporting,Ukraine,2026
http://www.wikidata.org/entity/Q138335944,All-Ukrainian Compak Sporting Competition – Rivne (August 2026),Compak Sporting,Ukraine,2026
http://www.wikidata.org/entity/Q138337296,Parcours Women’s Day Cup – Compak Sporting (March 2026),Compak Sporting,Poland,2026
http://www.wikidata.org/entity/Q138337507,Women’s Day Picnic – Compak Sporting (March 2026),Compak Sporting,Poland,2026
http://www.wikidata.org/entity/Q138338049,KS Idźczak Jura Kochcice Championship – Compak Sporting (May 2026),Compak Sporting,Poland,2026
http://www.wikidata.org/entity/Q138338127,Easter Parcours Competition – Compak Sporting (April 2026),Compak Sporting,Poland,2026
http://www.wikidata.org/entity/Q138339281,Top Hunts TV Cup – Sporting (June 2026),sporting clays,Poland,2026
http://www.wikidata.org/entity/Q138339321,II Perazzi Challenge 2026 – Sporting (June 2026),sporting clays,Poland,2026
http://www.wikidata.org/entity/Q138341725,Grand Prix Idźczak Meble – Compak Sporting (June 2026),Compak Sporting,Poland,2026
http://www.wikidata.org/entity/Q138341738,Beretta Cup – Compak Sporting (July 2026),Compak Sporting,Poland,2026
http://www.wikidata.org/entity/Q138341780,MKS ASTRA Cup – Sporting (July 2026),sporting clays,Poland,2026
http://www.wikidata.org/entity/Q138341798,III Promatic Cup – Compak Sporting (August 2026),Compak Sporting,Poland,2026
http://www.wikidata.org/entity/Q138341816,III Primabiotic Cup – Compak Sporting (August 2026),Compak Sporting,Poland,2026
http://www.wikidata.org/entity/Q138341869,MKS ASTRA Picnic – Compak Sporting (August 2026),Compak Sporting,Poland,2026
http://www.wikidata.org/entity/Q138342045,MKS ASTRA Cup – English Sporting (October 2026),sporting clays,Poland,2026
http://www.wikidata.org/entity/Q138342063,Night Parcours – Compak Sporting (October 2026),Compak Sporting,Poland,2026
http://www.wikidata.org/entity/Q138348479,EHUNT Season Opening – Compak Sporting (March 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138349183,Hunting League Opening - Compak Sporting - Lithuania (March 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138349390,Kaunas Cup I stage - Compak Sporting - Lithuania (April 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138349732,Marijampolė Mayors Cup I stage - Compak Sporting - Lithuania (April 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138349768,Lithuanian Cup I stage - Compak Sporting - Lithuania (April 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138349872,Lithuanian Cup II stage - Compak Sporting - Lithuania (May 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138349925,Kaunas Cup II Stage - Compak Sporting - Lithuania (May 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138355899,Lithuanian Cup III + Blaser Cup - Compak Sporting - Lithuania (June 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138356401,Mindaugas Cup - Compak Sporting - Lithuania (July 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138356434,Šūvio klubas Cup - Compak Sporting - Lithuania (July 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138356459,Lithuanian Championship - Compak Sporting - Lithuania (July 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138356479,Kaunas Cup III Stage - Compak Sporting - Lithuania (August 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138356503,Lithuanian Cup IV - Final - Compak Sporting - Lithuania (August 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138356661,Hunters Capital Cup - English Sporting - Lithuania (September 2026),sporting clays,Lithuania,2026
http://www.wikidata.org/entity/Q138356684,Grand Prix of Lithuania - Sporting - Lithuania (September 2026),sporting clays,Lithuania,2026
http://www.wikidata.org/entity/Q138356738,Hunters League Closing - Compak Sporting - Lithuania (October 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138356790,Varėna Mayors Cup - Compak Sporting - Lithuania (October 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138356843,Vilnius Grand Prix - Compak Sporting - Lithuania (October 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138356906,Marijampolė Mayors Cup II stage - Compak Sporting - Lithuania (October 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138357150,Kaunas Doublets - Compak Sporting - Lithuania (November 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138357244,Grand Prix of Lithuania - Compak Sporting - Lithuania (August 2026),Compak Sporting,Lithuania,2026
http://www.wikidata.org/entity/Q138387216,Grand Prix of New Zealand – Sporting (February 2026),sporting clays,New Zealand,2026
http://www.wikidata.org/entity/Q138388837,Grand Prix of Czech Republic – Compak Sporting (May 2026),Compak Sporting,Czech Republic,2026
http://www.wikidata.org/entity/Q138388889,Grand Prix of Czech Republic – Sporting (May 2026),sporting clays,Czech Republic,2026
http://www.wikidata.org/entity/Q138389184,Clays Shooting Cash Race – Compak Sporting (May 2026),Compak Sporting,France,2026
http://www.wikidata.org/entity/Q138389872,Pre-selections Compak Sporting Sains-lès-Marquion 2026,Compak Sporting,France,2026
http://www.wikidata.org/entity/Q138390919,Grand Prix of Greece – Compak Sporting (May 2026),Compak Sporting,Greece,2026
http://www.wikidata.org/entity/Q138391423,Preselections – Compak Sporting – Coullons (April 2026),Compak Sporting,France,2026
http://www.wikidata.org/entity/Q138391510,Preselections – Compak Sporting – Biscarrosse (April 2026),Compak Sporting,France,2026
http://www.wikidata.org/entity/Q138605875,Football at the 2026 Asian Games – Men's tournament,association football,Japan,2026
http://www.wikidata.org/entity/Q138605876,Football at the 2026 Asian Games – Women's tournament,association football,Japan,2026
http://www.wikidata.org/entity/Q138606396,2026 Asian Rhythmic Gymnastics Championships,rhythmic gymnastics,Kyrgyzstan,2026
http://www.wikidata.org/entity/Q138638490,Grand Prix of Portugal – Sporting (March 2026),sporting clays,Portugal,2026
http://www.wikidata.org/entity/Q138736732,2026 World Athletics Indoor Championships – Women's 800 metres,athletics,Poland,2026
http://www.wikidata.org/entity/Q138758330,2026 World Athletics Indoor Championships – Women's 1500 metres,athletics,Poland,2026
http://www.wikidata.org/entity/Q136432175,2025 Pan American Aquatics U15 Water Polo Championships – Women's tournament,water polo,Brazil,2025
http://www.wikidata.org/entity/Q136469272,2025 World Para Archery Championships – Men's doubles compound open,para archery,South Korea,2025
http://www.wikidata.org/entity/Q136621021,Q136621021,athletics,United States,2025
http://www.wikidata.org/entity/Q136650015,2025 FIVB Beach Volleyball U18 World Championships – Women's tournament,beach volleyball,Qatar,2025
http://www.wikidata.org/entity/Q136681058,2025–26 Biathlon World Cup – Stage 1,biathlon,Sweden,2025
http://www.wikidata.org/entity/Q136681060,2025–26 Biathlon World Cup – Stage 2,biathlon,Austria,2025
http://www.wikidata.org/entity/Q136681061,2025–26 Biathlon World Cup – Stage 3,biathlon,France,2025
http://www.wikidata.org/entity/Q136770685,2025–26 ISU Speed Skating World Cup – World Cup 1,long track speed skating,United States,2025
http://www.wikidata.org/entity/Q137731616,2025 Pan American Aquatics U15 Water Polo Championships – Men's tournament,water polo,Brazil,2025
http://www.wikidata.org/entity/Q137781223,2025 Pan American U17 Water Polo Championship – Men's tournament,water polo,Colombia,2025
http://www.wikidata.org/entity/Q138606308,Individual dressage at the 2025 European Dressage Championships,dressage,France,2025
http://www.wikidata.org/entity/Q124176354,2025 European Rowing Championships,rowing,Bulgaria,2025
http://www.wikidata.org/entity/Q124726444,2024–25 Biathlon World Cup – Stage 4,biathlon,Germany,2025
http://www.wikidata.org/entity/Q124726493,2024–25 Biathlon World Cup – Stage 5,biathlon,Germany,2025
http://www.wikidata.org/entity/Q124726494,2024–25 Biathlon World Cup – Stage 6,biathlon,Italy,2025
http://www.wikidata.org/entity/Q124726514,2024–25 Biathlon World Cup – Stage 7,biathlon,Czech Republic,2025
http://www.wikidata.org/entity/Q124726515,2024–25 Biathlon World Cup – Stage 8,biathlon,Slovenia,2025
http://www.wikidata.org/entity/Q124726516,2024–25 Biathlon World Cup – Stage 9,biathlon,Norway,2025
http://www.wikidata.org/entity/Q130113984,2024 Men's Hockey Junior Africa Cup,field hockey,Namibia,2025
http://www.wikidata.org/entity/Q130114527,2024 Women's Hockey Junior Africa Cup,field hockey,Namibia,2025
http://www.wikidata.org/entity/Q130485599,Q130485599,basketball,Japan,2025
http://www.wikidata.org/entity/Q130525731,2025 World Boxing Championships,boxing,United Kingdom,2025
http://www.wikidata.org/entity/Q132127651,2025 Grand Prix Zagreb Open,wrestling,Croatia,2025
http://www.wikidata.org/entity/Q133843970,Q133843970,athletics,Jamaica,2025
http://www.wikidata.org/entity/Q133844011,Q133844011,athletics,Jamaica,2025
http://www.wikidata.org/entity/Q133844019,Q133844019,athletics,Jamaica,2025
http://www.wikidata.org/entity/Q133844031,Q133844031,athletics,Jamaica,2025
http://www.wikidata.org/entity/Q133844061,Q133844061,athletics,Jamaica,2025
http://www.wikidata.org/entity/Q133847988,Q133847988,athletics,Jamaica,2025
http://www.wikidata.org/entity/Q133847996,Q133847996,athletics,Jamaica,2025
http://www.wikidata.org/entity/Q133848018,Q133848018,athletics,Jamaica,2025
http://www.wikidata.org/entity/Q133848023,Q133848023,athletics,Jamaica,2025
http://www.wikidata.org/entity/Q133848068,Q133848068,athletics,Jamaica,2025
http://www.wikidata.org/entity/Q134437530,2025 Canadian Olympic Curling Pre-Trials,curling,Canada,2025
